Rok,KWP,Województwo,target_mortality_rate,male_pct,female_pct,sober_pct,edu_low_pct,edu_mid_pct,edu_higher_pct,edu_unknown_pct,youth_pct,young_adult_pct,middle_age_pct,senior_pct,substances_pct,SES_instability_index,weekend_pct
2023,Pomorskie,Pomorskie,0.1844,0.5141,0.4859,0.201,0.2165,0.1115,0.0215,0.6505,0.2236,0.3263,0.3528,0.0972,0.5704,-0.1502,0.312
2023,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.3514,0.6518,0.3482,0.1987,0.1987,0.1288,0.0254,0.6471,0.1558,0.2862,0.3959,0.1622,0.6025,-0.1415,0.3323
2023,Wielkopolskie,Wielkopolskie,0.4737,0.7045,0.2955,0.169,0.2065,0.2682,0.0324,0.4929,0.1245,0.2804,0.413,0.1822,0.5769,-0.2925,0.2915
2023,Zachodniopomorskie,Zachodniopomorskie,0.3739,0.632,0.368,0.173,0.1525,0.1305,0.0279,0.6891,0.1202,0.2713,0.456,0.1525,0.6129,-0.2287,0.2918
2023,Łódzkie,Łódzkie,0.2188,0.6067,0.3933,0.1839,0.1691,0.143,0.0403,0.6477,0.1477,0.3168,0.4148,0.1208,0.7745,-0.1792,0.2913
2023,Śląskie,Śląskie,0.2722,0.6108,0.3892,0.1868,0.1392,0.1675,0.025,0.6684,0.1392,0.309,0.4151,0.1368,0.6665,-0.2108,0.3
2023,Świętokrzyskie,Świętokrzyskie,0.3398,0.6142,0.3858,0.2407,0.2195,0.3398,0.0619,0.3788,0.1487,0.2496,0.4389,0.1628,0.6177,-0.2726,0.3027
2024,Dolnośląskie,Dolnośląskie,0.3747,0.6697,0.3303,0.1919,0.1276,0.1357,0.0199,0.7167,0.1258,0.2923,0.4462,0.1348,0.4851,-0.1548,0.295
2024,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.4815,0.703,0.297,0.1531,0.1236,0.1107,0.0203,0.7454,0.1089,0.2546,0.4539,0.1827,0.4779,-0.2399,0.2804
2024,Lubelskie,Lubelskie,0.3588,0.6523,0.3477,0.1492,0.1862,0.1591,0.0271,0.6276,0.1529,0.254,0.4377,0.1554,0.5771,-0.1973,0.2799
2024,Lubuskie,Lubuskie,0.4101,0.6467,0.3533,0.1703,0.1451,0.0946,0.0126,0.7476,0.1451,0.2524,0.4448,0.1577,0.5237,-0.1798,0.2114
2024,Mazowieckie,Mazowieckie,0.4838,0.678,0.322,0.1097,0.1386,0.1321,0.0303,0.6989,0.1285,0.2982,0.4022,0.1697,0.5495,-0.2448,0.2816
2024,Małopolskie,Małopolskie,0.325,0.6385,0.3615,0.1509,0.1393,0.1708,0.034,0.6559,0.1368,0.2935,0.4204,0.1493,0.5887,-0.2413,0.2786
