Rok,KWP,Województwo,target_mortality_rate,male_pct,education_higher_pct,youth_pct,young_adult_pct,middle_age_pct,senior_pct,SES_instability_index,substances_pct,institution_contact_pct,weekend_pct
2022,Zachodniopomorskie,Zachodniopomorskie,0.3953,0.6927,0.0266,0.1063,0.3056,0.402,0.186,-0.1777,0.6013,0.186,0.3355
2022,Łódzkie,Łódzkie,0.2377,0.6206,0.0245,0.148,0.31,0.3913,0.1501,-0.2335,0.7742,0.2293,0.2714
2022,Śląskie,Śląskie,0.2829,0.5966,0.0277,0.1543,0.2988,0.386,0.1609,-0.2317,0.6515,0.2327,0.2886
2022,Świętokrzyskie,Świętokrzyskie,0.2913,0.6427,0.0505,0.1689,0.2621,0.4,0.1689,-0.268,0.6777,0.2136,0.2971
2023,Dolnośląskie,Dolnośląskie,0.4074,0.6682,0.0227,0.103,0.3233,0.3989,0.173,-0.1597,0.5019,0.1682,0.3025
2023,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.5047,0.7114,0.0372,0.1117,0.3054,0.4097,0.1732,-0.2384,0.4376,0.121,0.3259
2023,Lubelskie,Lubelskie,0.3549,0.6749,0.0402,0.1593,0.2772,0.3951,0.1684,-0.2461,0.5453,0.1762,0.2915
2023,Lubuskie,Lubuskie,0.4463,0.6775,0.0228,0.1075,0.2899,0.456,0.1466,-0.1596,0.5603,0.1629,0.2769
2023,Mazowieckie,Mazowieckie,0.5383,0.6908,0.0425,0.0975,0.312,0.4081,0.1797,-0.2145,0.4777,0.1908,0.282
2023,Małopolskie,Małopolskie,0.3353,0.6091,0.0249,0.1527,0.3004,0.3925,0.1544,-0.2174,0.5959,0.2307,0.283
2023,Opolskie,Opolskie,0.4101,0.7518,0.0288,0.0755,0.2842,0.4532,0.1835,-0.2662,0.5288,0.1223,0.295
2023,Podkarpackie,Podkarpackie,0.4104,0.6922,0.0322,0.1057,0.2864,0.4319,0.1761,-0.2297,0.5972,0.2833,0.2634
2023,Podlaskie,Podlaskie,0.3123,0.6528,0.0199,0.1545,0.2625,0.4452,0.1379,-0.1578,0.6429,0.1645,0.2774
2023,Pomorskie,Pomorskie,0.1844,0.5141,0.0215,0.2236,0.3263,0.3528,0.0972,-0.1502,0.5704,0.2154,0.312
2023,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.3514,0.6518,0.0254,0.1558,0.2862,0.3959,0.1622,-0.1415,0.6025,0.1797,0.3323
2023,Wielkopolskie,Wielkopolskie,0.4737,0.7045,0.0324,0.1245,0.2804,0.413,0.1822,-0.2925,0.5769,0.2581,0.2915
2023,Zachodniopomorskie,Zachodniopomorskie,0.3739,0.632,0.0279,0.1202,0.2713,0.456,0.1525,-0.2287,0.6129,0.1818,0.2918
2023,Łódzkie,Łódzkie,0.2188,0.6067,0.0403,0.1477,0.3168,0.4148,0.1208,-0.1792,0.7745,0.247,0.2913
2023,Śląskie,Śląskie,0.2722,0.6108,0.025,0.1392,0.309,0.4151,0.1368,-0.2108,0.6665,0.2387,0.3
2023,Świętokrzyskie,Świętokrzyskie,0.3398,0.6142,0.0619,0.1487,0.2496,0.4389,0.1628,-0.2726,0.6177,0.2619,0.3027
2024,Dolnośląskie,Dolnośląskie,0.3747,0.6697,0.0199,0.1258,0.2923,0.4462,0.1348,-0.1548,0.4851,0.1493,0.295
2024,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.4815,0.703,0.0203,0.1089,0.2546,0.4539,0.1827,-0.2399,0.4779,0.1052,0.2804
2024,Lubelskie,Lubelskie,0.3588,0.6523,0.0271,0.1529,0.254,0.4377,0.1554,-0.1973,0.5771,0.1665,0.2799
2024,Lubuskie,Lubuskie,0.4101,0.6467,0.0126,0.1451,0.2524,0.4448,0.1577,-0.1798,0.5237,0.1924,0.2114
2024,Mazowieckie,Mazowieckie,0.4838,0.678,0.0303,0.1285,0.2982,0.4022,0.1697,-0.2448,0.5495,0.2079,0.2816
2024,Małopolskie,Małopolskie,0.325,0.6385,0.034,0.1368,0.2935,0.4204,0.1493,-0.2413,0.5887,0.2289,0.2786
2024,Opolskie,Opolskie,0.4088,0.7095,0.0203,0.0777,0.3108,0.4223,0.1892,-0.4493,0.5338,0.1757,0.2736
2024,Podkarpackie,Podkarpackie,0.3651,0.7302,0.0231,0.1284,0.2496,0.4416,0.1804,-0.2179,0.6609,0.2338,0.2828
2024,Podlaskie,Podlaskie,0.2383,0.6296,0.0157,0.1722,0.2765,0.433,0.1183,-0.2278,0.6939,0.2435,0.2783
2024,Pomorskie,Pomorskie,0.1996,0.5524,0.0144,0.2147,0.3161,0.3743,0.0929,-0.1505,0.5975,0.2271,0.2919
2024,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.3224,0.6558,0.0156,0.1308,0.2882,0.4206,0.1604,-0.2009,0.6277,0.1931,0.2975
2024,Wielkopolskie,Wielkopolskie,0.431,0.679,0.029,0.131,0.283,0.438,0.148,-0.236,0.626,0.254,0.306
2024,Zachodniopomorskie,Zachodniopomorskie,0.3108,0.63,0.0242,0.1584,0.26,0.4293,0.1524,-0.1886,0.6179,0.1983,0.3144
2024,Łódzkie,Łódzkie,0.217,0.5734,0.0277,0.1278,0.3252,0.4206,0.1264,-0.2184,0.8276,0.2197,0.2853
2024,Śląskie,Śląskie,0.2391,0.5863,0.0247,0.1528,0.2983,0.4151,0.1339,-0.1935,0.6697,0.2226,0.2983
2024,Świętokrzyskie,Świętokrzyskie,0.3164,0.6387,0.0469,0.1582,0.252,0.418,0.1719,-0.2871,0.6035,0.2617,0.2578
2025,Dolnośląskie,Dolnośląskie,0.3785,0.6395,0.0197,0.1283,0.3013,0.4332,0.1372,-0.1785,0.4798,0.165,0.2933
2025,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.4208,0.6708,0.0246,0.1074,0.287,0.4419,0.1637,-0.2271,0.5,0.1303,0.3327
2025,Lubelskie,Lubelskie,0.33,0.6473,0.0278,0.1479,0.3085,0.3982,0.1454,-0.1884,0.5714,0.1997,0.2693
2025,Lubuskie,Lubuskie,0.4396,0.6563,0.0186,0.1115,0.2601,0.4675,0.161,-0.1981,0.4427,0.192,0.2663
2025,Mazowieckie,Mazowieckie,0.4587,0.6616,0.0426,0.1224,0.2834,0.4285,0.1651,-0.2345,0.5103,0.2056,0.2675
2025,Małopolskie,Małopolskie,0.3196,0.6425,0.0291,0.1211,0.3366,0.3995,0.1429,-0.2195,0.5973,0.2365,0.2728
